tconst,averageRating,numVotes
tt3107288,7.8,280648
tt0100802,7.5,280577
tt2802850,9,280238
tt0386588,6.6,280017
tt0399295,7.6,279719
tt0944835,6.4,279099
tt1125849,7.9,278579
tt0453467,7,278289
tt0163025,5.9,277356
tt0359950,7.3,277264
tt0129387,7.1,276792
tt0212720,7.2,276482
tt0110148,7.6,276470
tt0120663,7.4,275487
tt1397280,6.2,275118
tt0449467,7.4,275044
tt1037705,6.9,274511
tt0113497,7,274060
tt0489099,6.1,274041
tt1951261,5.8,273910
tt1245526,7,273405
tt0147800,7.3,272837
tt0472043,7.8,272583
tt0381849,7.7,272019
tt0379786,7.8,271990
tt0175880,8,271914
tt0293662,6.8,271485
tt0814314,7.6,270542
tt1194173,6.7,270538
tt0107688,8,270487
tt1517451,7.7,269330
tt2194499,7.8,268877
tt2004420,6.3,268454
tt0092099,6.9,267133
tt0104431,6.7,267113
tt0190590,7.7,266915
tt0031381,8.1,266912
tt3682448,7.6,265807
tt1253863,6.2,265432
tt0116367,7.2,265280
tt1179933,7.2,264285
tt1405406,7.7,264102
tt0100405,7,263690
tt1152836,7,263414
tt0117571,7.2,263351
tt0119177,7.8,263165
tt0119528,6.9,262574
tt2372162,8.1,262200
tt0348150,6,261663
tt1735898,6.1,260676
tt0118880,6.9,259587
tt0141842,9.2,259349
tt0413267,6,259139
tt1981677,7.2,259046
tt0367279,8.8,259015
tt0800320,5.8,258440
tt0094226,7.9,258363
tt0103644,6.5,258019
tt0109040,6.9,257888
tt1591095,6.8,257582
tt0473075,6.6,257419
tt0119008,7.7,257180
tt0119822,7.7,256842
tt1951266,6.5,256677
tt0278504,7.2,255790
tt3032476,8.7,255621
tt0103776,7,255514
tt0808151,6.7,255143
tt1197624,7.4,255010
tt1133985,5.5,253934
tt0203009,7.6,253543
tt1790885,7.4,253442
tt1645170,6.4,253292
tt0120201,7.2,252837
tt0320661,7.2,252191
tt1478338,6.8,251842
tt0306414,9.3,251269
tt1259571,4.7,250649
tt2283362,6.9,250517
tt0120623,7.2,249729
tt0800039,7.1,249604
tt0838283,6.9,249256
tt1091191,7.5,249001
tt0112384,7.6,248965
tt4633694,8.4,248919
tt0125439,7.1,248541
tt0265666,7.6,247874
tt0106977,7.8,247687
tt0187078,6.5,247681
tt0332379,7.1,247679
tt2106476,8.3,246290
tt1706620,7.1,244974
tt3799694,7.4,244890
tt0120669,7.6,244505
tt0411477,7,244291
tt3040964,7.4,243891
tt4912910,7.8,243663
tt2771200,7.2,243624
tt0401729,6.6,243572
tt1638355,7.3,243530
tt0463854,7,243529
tt3731562,6.6,243362
tt0450385,6.8,243219
tt0096283,8.2,242769
tt0112471,8.1,241593
tt0190332,7.8,241558
tt0286716,5.6,241359
tt1650554,6.5,241181
tt0320691,7,241171
tt0955308,6.6,241106
tt0486576,5.6,240587
tt0486655,7.6,240451
tt0290002,6.3,239802
tt0258000,6.8,239700
tt0187393,7.2,239557
tt1213663,7,238910
tt0212985,6.8,238813
tt0183649,7,238720
tt0075686,8,238178
tt2302755,6.5,237900
tt0118884,7.4,237782
tt0438097,6.8,237762
tt1340138,6.4,237103
tt0429493,6.7,236800
tt4649466,6.8,236699
tt0181875,7.9,236688
tt1343727,7.1,236665
tt1401152,6.8,236533
tt2024469,7,236479
tt2140479,7.3,236443
tt2798920,6.9,236265
tt0452623,7.6,236123
tt0259711,6.9,235888
tt0105323,8,235549
tt0322259,5.9,234563
tt0094721,7.5,234545
tt3778644,7,233999
tt1124373,8.6,233760
tt0289765,7.2,233673
tt0120804,6.7,233670
tt0196229,6.6,233226
tt1790809,6.6,233221
tt0414387,7.8,232956
tt6966692,8.2,232499
tt1077368,6.2,232089
tt0338526,6.1,231287
tt2316204,6.4,230956
tt1959490,5.8,230891
tt0298203,7.1,230783
tt1706593,7,230655
tt0443272,7.3,230613
tt0783233,7.8,230392
tt1601913,6.8,230162
tt2737304,6.6,230150
tt1386703,6.3,229966
tt0257044,7.7,229856
tt0368447,6.5,229522
tt1385826,7,229519
tt0120611,7.1,229470
tt0098904,8.8,229467
tt0497465,7.1,229245
tt1817273,7.3,228899
tt0303461,9,228761
tt0151804,7.7,228761
tt2397535,7.5,228375
tt0369179,7,228215
tt0803096,6.8,227775
tt0252866,6.4,227174
tt0120762,7.6,226897
tt4881806,6.2,226897
tt0215750,7.6,226803
tt1440129,5.8,226478
tt0221027,7.6,225710
tt0121164,7.3,225451
tt0285403,8.3,225334
tt0113189,7.2,224714
tt0116695,7.3,224653
tt1033575,7.3,224566
tt0824747,7.7,224511
tt1386588,6.6,223976
tt0107614,7,223608
tt0479884,6.9,223328
tt0099348,8,222851
tt0120812,7,222612
tt0463985,6,222515
tt0457939,6.9,222304
tt0112462,5.4,222216
tt1092026,7,222210
tt0363547,7.3,222068
tt0111503,7.2,221827
tt0448134,7.2,221667
tt0118749,7.9,221659
tt1032755,7.3,221423
tt0396171,7.5,221383
tt0093409,7.6,221323
tt0089218,7.8,220662
tt0844441,7.9,220279
tt0118688,3.7,220212
tt3110958,6.5,220127
tt0813715,7.5,219935
tt0978764,6,219585
