nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm3586347,NA,NA,NA,NA,NA
nm1201266,Robert Doherty,NA,NA,"producer,writer,miscellaneous","tt0412175,tt2191671,tt0364817,tt0435576"
nm0312217,Jordan Gelber,NA,NA,"actor,soundtrack","tt0292963,tt1690455,tt1111422,tt0486048"
nm1166041,Ophelia Lovibond,1986,NA,"actress,soundtrack","tt0380599,tt2015381,tt1411238,tt3289956"
nm0863293,Jodie Lynn Tillen,NA,NA,"costume_designer,costume_department,production_designer","tt0097742,tt0101393,tt0393109,tt0115857"
nm0001305,Lukas Haas,1976,NA,"actor,soundtrack,music_department","tt0116996,tt1375666,tt1663202,tt0090329"
nm0328709,Meagan Good,1981,NA,"actress,producer,director","tt0393109,tt1139668,tt0775539,tt1621045"
nm0558933,Mark G. Mathis,NA,NA,"producer,assistant_director,production_manager","tt0393109,tt0473308,tt0810988,tt0929632"
nm1791103,Nathan Johnson,1976,NA,"music_department,soundtrack,composer","tt0844286,tt0393109,tt8946378,tt1276104"
nm0457886,Alar Kivilo,1953,NA,"cinematographer,camera_department,director","tt1019454,tt0120324,tt0878804,tt6485928"
nm0236495,Shawn Doyle,1968,NA,"actor,writer,producer","tt0365929,tt0288909,tt0260866,tt0186151"
nm0593310,Elizabeth Mitchell,1970,NA,actress,"tt0411008,tt0404390,tt0304669,tt0186151"
nm0256497,Toby Emmerich,1963,NA,"producer,music_department,writer","tt0186151,tt2231461,tt0337921,tt0289879"
nm0462242,Hawk Koch,1945,NA,"producer,assistant_director,miscellaneous","tt0340163,tt0114857,tt0945513,tt0186151"
nm2546716,Riley Thomas Stewart,2002,NA,"actor,director,writer","tt1327194,tt1833403,tt1321860,tt0460649"
nm0382956,Scott Hicks,1953,NA,"director,writer,assistant_director","tt0098275,tt0120834,tt0220785,tt0117631"
nm0728346,Michael Rispoli,1960,NA,"actor,writer,producer","tt1250777,tt0114924,tt0376136,tt0266452"
nm0732430,Bruce Robinson,1946,NA,"actor,writer,director","tt0104549,tt0094336,tt0087553,tt0063518"
nm0812427,Marilyn Sokol,1944,NA,"actress,soundtrack","tt0112461,tt0395251,tt0092493,tt0077578"
nm0534944,James Madio,1975,NA,"actor,producer,director","tt0112461,tt0185906,tt0203259,tt1742044"
nm0436284,Scott Kalvert,1964,2014,"director,producer,writer","tt1477180,tt0231448,tt6734178,tt0112461"
nm0140860,Jim Carroll,1949,2009,"soundtrack,actor,writer","tt0083866,tt0112461,tt0363547,tt0120211"
nm0326734,Bryan Goluboff,NA,NA,"producer,writer,director","tt0835434,tt4354880,tt0112461,tt1412442"
nm0375353,Liz Heller,NA,NA,"producer,music_department","tt0112461,tt0119217,tt2248945,tt1857517"
nm0544307,John Bard Manulis,1956,NA,"producer,miscellaneous,production_manager","tt0443543,tt0074119,tt0112461,tt0318374"
nm0276169,Tom Holland,1943,NA,"actor,writer,director","tt0112040,tt0094862,tt0117894,tt0089175"
nm0742851,Alison R. Rosenzweig,NA,NA,"producer,miscellaneous,executive","tt0245562,tt1438176,tt1059836,tt0097778"
nm0925916,Charles Malik Whitfield,1972,NA,"actor,producer","tt0159273,tt0109842,tt0472198,tt0164292"
nm0702818,Helmut Qualtinger,1928,1986,"actor,writer,soundtrack","tt0091605,tt0062105,tt0067083,tt0075140"
nm0059946,Elya Baskin,1950,NA,"actor,miscellaneous","tt0146309,tt0413300,tt0316654,tt1399103"
nm0248767,Umberto Eco,1932,2016,"writer,actor","tt0091605,tt1298790,tt1345972,tt7572868"
nm0102722,Gérard Brach,1927,2006,"writer,director,actor","tt0095174,tt0091605,tt0074811,tt0104779"
nm0291442,Howard Franklin,NA,NA,"writer,director,producer","tt0120483,tt0105187,tt0218817,tt0091605"
nm0000443,Goldie Hawn,1945,NA,"actress,producer,soundtrack","tt0104070,tt0116242,tt0116313,tt0093693"
